Date,Geography,New housing price indexes,Index Value
2018-03,"Greater Sudbury, Ontario",Land only,100.1
2018-03,Prairie Region,Total (house and land),99.9
2018-03,Prairie Region,House only,99.6
2018-03,Prairie Region,Land only,100.4
2018-03,Manitoba,Total (house and land),103.5
2018-03,Manitoba,House only,104.7
2018-03,Manitoba,Land only,100.8
2018-03,"Winnipeg, Manitoba",Total (house and land),103.5
2018-03,"Winnipeg, Manitoba",House only,104.7
2018-03,"Winnipeg, Manitoba",Land only,100.8
2018-03,Saskatchewan,Total (house and land),98.6
2018-03,Saskatchewan,House only,98.0
2018-03,Saskatchewan,Land only,100.0
2018-03,"Regina, Saskatchewan",Total (house and land),99.9
2018-03,"Regina, Saskatchewan",House only,99.7
2018-03,"Regina, Saskatchewan",Land only,100.7
2018-03,"Saskatoon, Saskatchewan",Total (house and land),97.9
2018-03,"Saskatoon, Saskatchewan",House only,97.1
2018-03,"Saskatoon, Saskatchewan",Land only,99.7
2018-03,Alberta,Total (house and land),99.6
2018-03,Alberta,House only,99.2
2018-03,Alberta,Land only,100.4
2018-03,"Calgary, Alberta",Total (house and land),99.6
2018-03,"Calgary, Alberta",House only,99.0
2018-03,"Calgary, Alberta",Land only,100.6
2018-03,"Edmonton, Alberta",Total (house and land),99.7
2018-03,"Edmonton, Alberta",House only,99.4
2018-03,"Edmonton, Alberta",Land only,100.1
2018-03,British Columbia,Total (house and land),107.9
2018-03,British Columbia,House only,108.9
2018-03,British Columbia,Land only,104.8
2018-03,"Kelowna, British Columbia",Total (house and land),103.4
2018-03,"Kelowna, British Columbia",House only,104.4
2018-03,"Kelowna, British Columbia",Land only,101.2
2018-03,"Vancouver, British Columbia",Total (house and land),108.9
2018-03,"Vancouver, British Columbia",House only,109.9
2018-03,"Vancouver, British Columbia",Land only,105.5
2018-03,"Victoria, British Columbia",Total (house and land),102.8
2018-03,"Victoria, British Columbia",House only,103.5
2018-03,"Victoria, British Columbia",Land only,100.9
2018-04,Canada,Total (house and land),103.1
2018-04,Canada,House only,102.7
2018-04,Canada,Land only,103.7
2018-04,Atlantic Region,Total (house and land),100.5
2018-04,Atlantic Region,House only,100.6
2018-04,Atlantic Region,Land only,100.0
2018-04,Newfoundland and Labrador,Total (house and land),99.0
2018-04,Newfoundland and Labrador,House only,98.8
2018-04,Newfoundland and Labrador,Land only,99.8
2018-04,"St. John's, Newfoundland and Labrador",Total (house and land),99.0
2018-04,"St. John's, Newfoundland and Labrador",House only,98.8
2018-04,"St. John's, Newfoundland and Labrador",Land only,99.8
2018-04,Prince Edward Island,Total (house and land),100.5
2018-04,Prince Edward Island,House only,100.7
2018-04,Prince Edward Island,Land only,100.1
2018-04,"Charlottetown, Prince Edward Island",Total (house and land),100.5
2018-04,"Charlottetown, Prince Edward Island",House only,100.7
2018-04,"Charlottetown, Prince Edward Island",Land only,100.1
2018-04,Nova Scotia,Total (house and land),101.9
2018-04,Nova Scotia,House only,102.3
2018-04,Nova Scotia,Land only,100.2
2018-04,"Halifax, Nova Scotia",Total (house and land),101.9
2018-04,"Halifax, Nova Scotia",House only,102.3
2018-04,"Halifax, Nova Scotia",Land only,100.2
2018-04,New Brunswick,Total (house and land),101.1
2018-04,New Brunswick,House only,101.2
2018-04,New Brunswick,Land only,100.0
2018-04,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),101.1
